Time_submitted,text,rating,Total_thumbsup,Reply,sentiment,text_length,word_count,text_clean
2022-06-28 00:12:53,I can't open the app. It's stuck on the start-up screen(or logo screen). I've installed and uninstalled the app a few times already and it still won't budge.,1,1,,0,157,28,not open app stuck startup screenor logo screen ve instal uninstalle app time will not budge
2022-06-26 14:30:36,The play list created is fantastic. I really enjoy using Spotify,5,0,,1,64,11,play list create fantastic enjoy spotify
2022-06-13 16:43:32,Music + podcast = good combo. Downside is sometimes I want music videos too,4,0,,1,75,14,music podcast good combo downside want music video
2022-06-09 01:01:31,Widget is back! Thank you,4,2,,1,25,5,widget thank
2022-06-09 15:22:57,"You may still get ads with a premium account. My downloaded songs cut in and out. The pause play button doesn't always pop up when a song is selected, even after restarting the app.",1,0,,0,181,34,ad premium account download song cut pause play button not pop song select restart app
2022-06-24 17:13:38,Brilliant. All my music in 1 place all the time with me... what more do you want....,5,0,,1,84,17,brilliant music place time want
2022-07-03 19:52:22,"Music, music and more music. Access possibly the most complete library of recordings known to mankind, with Spotify.",4,0,,1,116,18,music music music access possibly complete library recording know mankind spotify
2022-06-27 00:20:17,"The best current music experience, across all platforms. I have only had a positive experience with the app, and it seems to always be improving.",5,0,,1,145,25,good current music experience platform positive experience app improve
2022-06-07 11:07:13,Can't play music can't download,1,1,,0,31,5,not play music not download
2022-07-01 21:07:27,"Spotify rocks. I use premium and it's elite, love it more than Pandora for sure. Spotify makes it easy to listen to what you love and helps you explore! My music has expanded a lot thanks to Spotify. 10/10 would recommend.",5,0,,1,222,41,spotify rock use premium elite love pandora sure spotify make easy listen love help explore music expand lot thank spotify 1010 recommend
2022-06-08 05:50:49,"Love this app, gives me a wide variety of music genres and artists that I enjoy listening to.",5,0,,1,93,18,love app give wide variety music genre artist enjoy listen
2022-06-16 19:05:40,Great! So easy to navigate and select the music you want,5,0,,1,56,11,great easy navigate select music want
2022-06-05 17:20:27,Premium option is the best. Especially if you're like me from the older generation.,5,0,,1,83,14,premium option good especially like old generation
2022-06-11 20:30:45,Great way to listen to podcasts,5,0,,1,31,6,great way listen podcast
2022-07-01 10:47:47,"Just buy premium and deal with it. I use spotify on my pc, xbox, and phone. Smooth app overall and the playlist creation is straight forward and much appreciated.",5,3,,1,162,29,buy premium deal use spotify pc xbox phone smooth app overall playlist creation straight forward appreciate
2022-06-01 08:35:40,Best app yet. But there are too many ads :'),5,2,,1,44,10,good app ad
2022-06-23 10:39:43,Always has what I am looking for.,5,0,,1,33,7,look
2022-07-03 03:50:37,Hey there . I am daily listener of Spotify.And I also want a primium subscribtion. So I request you to add a reedeem gift code payment method to primium plan. Thanku.,1,0,,0,166,31,hey daily listener spotifyand want primium subscribtion request add reedeem gift code payment method primium plan thanku
2022-06-27 18:27:30,Good music and podcasts. Easy to access and use.,5,0,,1,48,9,good music podcast easy access use
